line,secDetail,orderDetail,node,distance,distancePreviousStop,name,latitude,longitude
2,10,1,3811,0,0,PZA.MANUEL BECERRA-DR.ESQUERDO,40.427502096003,-3.6684895407653,
2,10,1,148,276,276,DR.ESQUERDO-HERMOSILLA,40.425157269181,-3.668922532296,
2,10,1,150,639,363,DR.ESQUERDO-O DONNELL,40.421930481385,-3.6691970483402,
2,10,1,1256,1047,408,DR.ESQUERDO-HPTAL.GREGORIO MARAÑON,40.418334209364,-3.6694914518929,
2,10,1,199,1374,327,IBIZA-MAIQUEZ,40.41825212972,-3.6727674499642,
2,10,1,2157,1707,333,NARVAEZ-IBIZA,40.41859310467,-3.6760901082608,
2,10,1,156,2059,352,O DONNELL-NARVAEZ,40.421672368133,-3.6763967684178,
2,10,1,158,2398,339,O DONNELL-AV.MENENDEZ PELAYO,40.421666799238,-3.6804163134814,
2,10,1,161,3186,788,PUERTA DE ALCALA,40.420587758023,-3.6891989125635,
2,10,1,69,3587,401,PZA.DE CIBELES,40.419696944052,-3.6935393486955,
2,10,1,5135,3866,279,ALCALA-BARQUILLO,40.419057155041,-3.6965620948851,
2,10,1,5137,4113,247,GRAN VIA-CLAVEL,40.419707673253,-3.6992362786491,
2,10,1,166,4475,362,GRAN VIA-TRES CRUCES,40.420258603384,-3.7034630619862,
2,10,1,168,4845,370,GRAN VIA-SAN BERNARDO,40.421289381531,-3.7072764823115,
2,10,1,170,5117,272,GRAN VIA-PZA.ESPAÑA,40.422896075988,-3.7097098279899,
2,10,1,1750,5396,279,PRINCESA-PZA.ESPAÑA,40.424693925473,-3.7118152363188,
2,10,1,172,5548,152,PRINCESA-VENTURA RODRIGUEZ,40.425895886242,-3.7126648850499,
2,10,1,175,5803,255,MARTIRES DE ALCALA-PRINCESA,40.427709970077,-3.7135917658134,
2,10,1,176,6140,337,BLASCO DE GARAY-ALBERTO AGUILERA,40.430442112279,-3.7117343726381,
2,10,1,177,6525,385,BLASCO DE GARAY Nº 40,40.433912131659,-3.7114762151871,
2,10,1,4477,6762,237,FDEZ.DE LOS RIOS-GALILEO,40.435116691438,-3.7104396003592,
2,10,1,4478,7013,251,VALLEHERMOSO-DONOSO CORTES,40.43599400693,-3.7084091345076,
2,10,1,4479,7234,221,VALLEHERMOSO-CEA BERMUDEZ,40.437985857923,-3.7082649744208,
2,10,1,180,7504,270,VALLEHERMOSO Nº 112,40.440419628542,-3.7080417280904,
2,10,1,181,7834,330,JUAN VIGON Nº 23,40.442488769285,-3.7099842432598,
2,10,1,182,8081,247,JUAN VIGON-GUZMAN EL BUENO,40.441338837288,-3.7123916799395,
2,10,1,183,8377,296,GRAL.AMPUDIA Nº 8,40.442331490429,-3.7150386899607,
2,10,1,184,8541,164,GRAL.AMPUDIA Nº 18,40.443547385058,-3.7150881281881,
2,10,1,185,8851,310,AV.REINA VICTORIA-GRAL.RODRIGO,40.445759951282,-3.7142165738602,
2,10,1,186,9073,222,GUZMAN EL BUENO Nº 139,40.44581608885,-3.7124189048486,
2,20,1,186,0,0,GUZMAN EL BUENO Nº 139,40.44581608885,-3.7124189048486,
2,20,1,187,328,328,GUZMAN EL BUENO-SAN FRANCISCO DE SALES,40.442868694399,-3.7126601665106,
2,20,1,188,475,147,GUZMAN EL BUENO-JUAN VIGON,40.441543339136,-3.712830111171,
2,20,1,189,790,315,GUZMAN EL BUENO-CEA BERMUDEZ,40.43871334817,-3.7130242411546,
2,20,1,190,1112,322,GUZMAN EL BUENO-FERNANDEZ DE LOS RIOS,40.435811165457,-3.7132376369877,
2,20,1,191,1369,257,GUZMAN EL BUENO-MELENDEZ VALDES,40.433512720389,-3.7134279232057,
2,20,1,192,1652,283,GUZMAN EL BUENO-ALBERTO AGUILERA,40.430961975674,-3.7136261408725,
2,20,1,193,2056,404,PRINCESA Nº 29,40.427893320099,-3.714536804435,
2,20,1,173,2301,245,PRINCESA-VENTURA RODRIGUEZ,40.425965045332,-3.7131371519278,
2,20,1,171,2700,399,GRAN VIA-PZA.ESPAÑA,40.42295413872,-3.7105238031888,
2,20,1,169,3036,336,GRAN VIA-SAN BERNARDO,40.42104500217,-3.7074625238401,
2,20,1,167,3425,389,GRAN VIA-SALUD,40.419971870357,-3.7032078252489,
2,20,1,5138,3760,335,GRAN VIA-CLAVEL,40.419517734673,-3.6993604361755,
2,20,1,164,3962,202,GRAN VIA-ALCALA,40.418864398586,-3.6971541811161,
2,20,1,70,4292,330,PZA.DE CIBELES,40.419058253984,-3.6933819132413,
2,20,1,162,4737,445,PUERTA DE ALCALA,40.419602319265,-3.68826826599,
2,20,1,174,4986,249,ALCALA-LAGASCA,40.42042778365,-3.6858013110162,
2,20,1,3686,5539,553,O DONNELL-AV.MENENDEZ PELAYO,40.421564105697,-3.6794958407048,
2,20,1,157,5798,259,O DONNELL-NARVAEZ,40.421419718893,-3.6764649636503,
2,20,1,2156,6161,363,NARVAEZ-IBIZA,40.418527949875,-3.6764477850259,
2,20,1,2158,6417,256,SAINZ DE BARANDA-NARVAEZ,40.416784817753,-3.6756606461639,
2,20,1,2160,6646,229,SAINZ DE BARANDA-MAIQUEZ,40.416629296716,-3.6729775915408,
2,20,1,2162,6911,265,SAINZ DE BARANDA-DR.ESQUERDO,40.416404152854,-3.6698612836162,
2,20,1,1257,7149,238,DR.ESQUERDO-HPTAL.GREGORIO MARAÑON,40.418237572981,-3.6690661586739,
2,20,1,5822,7389,240,DR.ESQUERDO-O DONNELL,40.420391807656,-3.6688765054423,
2,20,1,151,7647,258,DR.ESQUERDO-JORGE JUAN,40.422671968322,-3.6687210940731,
2,20,1,149,7891,244,DR.ESQUERDO-FUNDADORES,40.424799277966,-3.6685134703879,
2,20,1,3811,8195,304,PZA.MANUEL BECERRA-DR.ESQUERDO,40.427502096003,-3.6684895407653,
